,sentence,entities
0,"For Los Alamos (2256 m -LSB- 7400 ft -RSB- -)ca. 24 km SE of Chihuahueños Bog, similar parameters are 15.5 ° C, 2.5 ° C, and 45.9 cm (httpwww.wrcc.dri.edu/summary/climsmnm.html) .","(Los Alamos, 15.5 ° C, 2.5 ° C)"
2,"R.S. Anderson et alQuaternary Research 69 (2008) 263275 267 Table 1 Radiometric Ages for the Chihuahueños Bog sediment core Site name Core Laboratory number Depth (cm) Age (14C yr BP, SD 210Pb, 137Cs, Historic) -()- 13C/12C Cal yr BP Median Calibration Date Material probability type Chihuahueños Bog 1 1 1 1 1 1 1 1 1 1 USC Geology USC Geology USC Geology Beta-176475 Beta-202658 Beta-160243 Beta-160244 Beta-176476 AA-39836 Beta-114177 6 17 21 4851 5458 101105 162.5166.1 188189 217.7222.9 340350 AD 1963 AD 1890 AD 1865 1320 990 1840 4290 8130 9100 11850 (2 s.d.) (used for graphing) N/A N/A − 13 − 13 N/A N/A 60 60 N/A N/A 85 85 40 − 24.7 11761302 1254 40 − 26.1 795964 902 70 − 25 16011927 1773 70 − 25 47835047 4864 40 − 22.3 89969139 9070 61 unknown 1017710425 10262 80 − 25 1347113876 13711 N/A N/A N/A CALIB 5.0 CALIB 5.0 CALIB 5.0 CALIB 5.0 CALIB 5.0 CALIB 5.0 CALIB 5.0 137Cs 210Pb 210Pb AMS AMS Bulk Bulk AMS AMS Bulk Sediment Sediment Sediment Charcoal Peat, Chitin Peat Peat Charcoal Sediment Peat respect to the ratio in the Pee Dee Belemnite (PDB) standard for carbon and atmospheric air standard for nitrogen, d 1/4 1/2 ðRsample = RstandardÞ À 1 1000 where Rsample and Rstandard are the ratios 13C/12C or 15N/14N of the sample and standard respectively .","(267 Table 1 Radiometric Ages,)"
3,"Two dates constrain deglaciation there, including ca. 14 100 cal yr BP (12 160 ± 40 14C yr BP ; Jicarita Bog, Bair, 2004) and 14 000 cal yr BP (12 120 ± 95 14C yr BP ; Stewart Bog, Armour et al2002) .","(160 ± 40 14C,)"
4,INDEX LAT -(N) LONG -(W) ha m mg μg / L μS / cm CaCo3/L mg/L mg/L mg/L mg/L mg/L mg/L μg / L Acidiﬁcation 1 Chocolate 44 ◦ 38.3 63 ◦ 37.3 7.1 13.0 6.2 2 497.0 1.5 11.6 76.7 122.0 26.4 0.3 0.4 0.1 2 First Chain 44 ◦ 38.3 63 ◦ 38.3 72.6 13.9 4.8 2 328.0 − 1.1 5.5 48.1 80.3 18.3 0.1 0.9 0.4 3 Frenchman 44 ◦ 41.8 63 ◦ 34.5 8.4 1.5 6.1 12 469.0 0.6 4 Major 44 ◦ 43.7 63 ◦ 28.9 343.0 65.0 4.7 4 38.3 − 1.1 8.6 74.5 126.0 15.2 0.1 1.0 3.6 5.3 4.5 0.1 5.9 4.5 4.6 0.4 5 Pockwock 44 ◦ 47.4 63 ◦ 51.6 800.8 47.0 5.8 4 37.0 1.0 1.1 4.1 7.1 4.8 0.2 3.2 0.7 6 Second Chain 44 ◦ 38.2 63 ◦ 38.3 72.6 13.9 4.8 4 372.0 − 0.8 7 Shubenacadie 44 ◦ 54.0 63 ◦ 36.6 1841.0 30.0 5.6 17 98.1 1.6 7.6 53.5 91.7 20.2 0.1 4.9 11.7 18.4 9.1 0.1 1.0 0.2 3.7 2.2 Grand Nutrients 8 Topsail 9 Banook 44 ◦ 41.7 63 ◦ 31.1 44 ◦ 40.9 63 ◦ 33.3 59.1 7.0 5.5 3 65.3 − 0.5 3.1 6.6 11.3 8.6 0.1 33.3 12.0 7.5 14 403.0 15.0 13.8 59.1 90.5 17.8 0.3 1.8 0.4 4.3 2.1 10 Bissett 44 ◦ 39.2 63 ◦ 28.2 88.0 9.0 7.4 22 602.0 23.7 17.4 91.6 152.0 16.5 0.4 7.1 11.4 11 Charles 12 Fletchers 44 ◦ 43.6 63 ◦ 33.1 113.6 28.0 7.1 10 243.0 9.9 8.8 32.3 52.6 12.8 0.3 44 ◦ 50.2 63 ◦ 36.7 105.2 10.1 6.9 12 159.1 3.6 6.0 21.2 33.7 9.3 0.2 2.6 1.0 4.2 1.2 13 Morris 44 ◦ 38.4 63 ◦ 29.4 175.9 8.0 7.2 14 320.0 9.0 9.7 46.0 75.5 13.4 0.3 2.3 3.6 14 Penhorn 15 Settle 44 ◦ 40.5 63 ◦ 32.5 44 ◦ 40.7 63 ◦ 30.3 4.3 9.0 7.5 20 558.0 21.3 16.7 85.4 139.0 13.2 0.2 6.6 7.0 7.4 22 496.0 21.4 14.9 75.5 120.0 14.9 0.3 5.5 0.5 3.7 2.2 16 Sheldrake 44 ◦ 40.6 63 ◦ 47.9 12.9 6.3 5.2 45 80.0 − 2.0 15.0 18.0 4.0 0.4 15.5 12.4 Climate 17 Big Albro 18 First 44 ◦ 41.3 63 ◦ 34.6 44 ◦ 46.5 63 ◦ 38.0 19.8 6.0 7.1 8 351.0 8.2 8.7 56.2 89.2 11.8 0.1 83.5 23.0 7.5 10 483.0 21.9 16.4 72.1 114.0 17.1 0.2 4.1 3.9 2.3 3.3 19 Frog 44 ◦ 37.5 63 ◦ 36.2 4.6 6.0 7.4 20 534.0 17.0 17.0 78.4 129.0 21.9 0.3 3.2 0.6 20 Governor 21 Kearney 44 ◦ 38.4 63 ◦ 42.1 651.6 12.8 6.3 13 412.0 44 ◦ 42.0 63 ◦ 42.6 51.0 6.0 6.5 11 150.0 0.3 10.6 60.0 104.0 16.0 0.6 2.9 4.7 20.4 33.8 7.3 0.3 2.2 1.0 3.3 0.4 22 Lemont 44 ◦ 41.4 63 ◦ 31.3 9.3 6.0 5.4 6 61.2 − 0.4 2.9 5.8 10.1 8.5 0.0 3.6 0.7 23 Long 24 Loon 44 ◦ 37.2 63 ◦ 37.9 158.8 30.0 5.3 44 ◦ 42.3 63 ◦ 30.5 74.9 6.1 7.2 7 220.0 − 0.4 6 316.0 9.4 5.0 32.0 52.6 10.3 0.2 8.6 46.6 74.7 12.0 0.3 6.6 0.4 3.8 0.8 25 McCabe 44 ◦ 46.4 63 ◦ 45.1 163.4 14.4 5.8 15 38.7 3.7 1.5 3.9 5.8 2.2 0.2 10.8 5.1 26 Micmac 27 Oat Hill 44 ◦ 41.5 63 ◦ 33.1 44 ◦ 40.4 63 ◦ 33.0 92.3 6.0 7.2 7 365.0 12.5 12.4 51.6 86.0 16.7 0.4 4.9 9.0 7.5 15 544.0 25.0 19.2 76.4 124.0 20.1 0.7 2.4 1.0 4.5 2.3 28 Paper Mill 44 ◦ 43.3 63 ◦ 41.4 23.5 6.1 6.6 11 154.0 2.1 5.0 21.2 36.4 7.4 0.3 3.7 0.3 29 Power 30 Rocky 44 ◦ 38.6 63 ◦ 40.4 9.7 9.0 5.9 10 172.0 0.5 4.0 25.6 39.7 8.9 0.1 44 ◦ 45.0 63 ◦ 37.8 141.6 11.0 7.4 7 339.0 18.5 15.2 44.1 73.7 15.3 0.4 6.4 1.4 3.1 1.4 31 Sandy 44 ◦ 44.1 63 ◦ 42.0 18.0 8.0 5.9 8 132.0 0.2 4.0 17.7 30.2 9.1 0.2 5.1 0.7 32 Second 44 ◦ 46.9 63 ◦ 39.3 90.3 12.0 7.0 8 156.0 6.6 5.9 21.1 34.8 6.9 0.1 4.5 1.6 33 Springﬁeld 44 ◦ 48.6 63 ◦ 44.5 90.0 4.5 6.9 4 91.0 1.0 5.3 8.3 17.0 8.0 0.2 1.8 1.9 34 William 44 ◦ 46.1 63 ◦ 35.2 235.0 28.0 7.1 6 170.0 8.0 6.6 23.0 36.5 9.5 0.2 3.6 0.8 35 Williams 44 ◦ 37.2 63 ◦ 36.0 49.6 2.0 6.4 8 182.0 1.0 5.0 27.4 42.2 11.2 0.2 3.6 1.3 4 3 3 1 1 2 1 2 5 3 2 4 3 4 4 3 3 3 2 2 2 2 1 2 3 4 4 3 3 3 3 2 3 2 2 97 Sub - 36 Anderson 44 ◦ 42.3 63 ◦ 30.5 27.1 26.8 5.6 8 61.8 − 0.2 2.0 7.2 12.1 5.7 0.1 3.6 4.6 threshold 37 Bayers 38 Bell 44 ◦ 38.5 63 ◦ 40.4 36.0 8.0 5.2 14 434.0 − 0.6 12.2 61.5 106.0 26.5 0.2 2.5 1.2 44 ◦ 40.4 63 ◦ 30.6 9.9 8.5 5.8 8 56.0 − 0.2 2.4 5.1 9.4 7.8 0.1 1.7 2.3 39 Cranberry 44 ◦ 41.4 63 ◦ 29.9 12.8 3.0 7.5 13 565.0 19.8 15.7 85.7 144.0 16.9 0.6 5.0 3.8 40 Fraser 41 Kinsac 44 ◦ 40.2 63 ◦ 45.2 12.5 14.0 5.1 12 65.1 − 0.6 2.1 7.6 12.9 5.0 0.1 7.0 1.2 44 ◦ 49.4 63 ◦ 39.1 172.0 18.0 6.5 10 77.4 1.0 3.5 8.5 14.6 6.1 0.1 4.7 0.9 42 Little Albro 44 ◦ 41.0 63 ◦ 34.6 72.6 13.9 7.1 8 333.0 9.3 8.6 51.9 81.3 12.9 0.1 1.7 0.7 43 Little 44 ◦ 48.1 63 ◦ 45.1 8.0 7.8 4.5 19 340.0Springﬁeld 44 Maynard 44 ◦ 40.3 63 ◦ 33.2 7.4 7.0 7.5 10 392.0 14.9 11.0 58.7 94.1 13.5 0.2 4.5 0.7 45 Miller 44 ◦ 48.6 63 ◦ 35.7 104.3 13.0 5.7 12 98.7 − 0.3 3.3 13.1 20.4 7.4 0.3 5.3 3.9 46 Powder Mill 44 ◦ 46.3 63 ◦ 36.4 41.3 13.0 7.2 8 214.0 14.0 10.5 26.5 43.3 11.2 0.2 3.1 1.8 47 Russell 44 ◦ 40.3 63 ◦ 31.8 34.4 9.0 7.2 22 533.0 12.1 13.3 79.9 138.0 16.5 0.1 5.3 8.2 48 Soldier 49 Third 44 ◦ 49.2 63 ◦ 34.2 189.8 31.0 5.2 12 95.0 − 0.3 3.2 11.4 19.2 7.4 0.3 5.2 4.6 44 ◦ 47.5 63 ◦ 38.0 84.8 24.0 7.0 8 137.3 5.3 5.8 17.3 28.7 7.2 0.1 3.3 2.6 50 Thomas 44 ◦ 47.7 63 ◦ 36.5 113.3 15.0 7.1 9 178.6 6.9 7.1 23.7 37.8 9.4 0.2 3.6 1.0 51 Whimsical 44 ◦ 37.6 63 ◦ 36.6 72.6 13.9 7.5 9 643.0 19.4 19.8 95.2 160.0 26.4 0.4 2.6 1.5 MEAN 62.4 14.1 6.4 11 264.0 6.7 8.0 36.9 61.5 12.0 0.2 3.9 2.6 MEDIAN 38.7 13.5 6.7 10 196.3 5.3 7.1 23.7 37.8 9.4 0.2 3.6 1.8 MINIMUM 7.4 3.0 4.5 8 56.0 − 0.6 2.0 5.1 9.4 5.0 0.1 1.7 0.7 MAXIMUM189 .8 31.0 7.5 22 643.0 19.8 19.8 95.2 160.0 26.5 0.6 7.0 8.2 1 5 4 3 3 2 4 3 4 3 3 4 2 2 2 3 3 3 1 5 Ginn et al. .,"(8 Topsail 9 Banook 44, 23 Long 24, 29 Power 30 Rocky 44, Bayers)"
7,"9 Present address : School of Earth and Atmospheric Sciences, Georgia Institute of Technology, Atlanta, Georgia 30332 USA .","(Georgia Institute of Technology, Atlanta, Georgia)"
8,NA07OAR4310058 -)Richard Ford (Florida Institute of Technology -)and the Microsoft Corporation for funding the pollen analysis .,"(Florida Institute of Technology -)and the,)"
9,"Lake Hope Simpson (52 ' 27 ' N, 56 ' 26 ' W, elevation 295 m) lies 20 km southwest of Port Hope Simpson in a steep-sided eastwest-trending valley that is drained by the St. Lewis River .","(27 ' N, 56 ' 26 ' W)"
11,"Moraine Lake (52 ' 16 ' N, 58 ' 03 ' W, elevation 385 m) occupies a small (45 ha) ice-block depression in the hummocky Paradise Moraine .","(58 ' 03 ' W,)"
12,"St. Paul Lake (52 ' 05 ' N, 57 ' 50 ' W, elevation 319 m) is located about 20 km southeast of Moraine Lake in the till-mantled hills above the St. Paul River .","(57 ' 50 ' W, Moraine Lake, St. Paul River)"
13,0031-0182 / 03see front matter ß 2003 Elsevier Science B.V. All rights reserved .,"(2003 Elsevier Science B.V.,)"
